Clau/var,Cla,Var
0.375,6,16
0.42857142857142855,3,7
0.4666666666666667,7,15
0.4166666666666667,5,12
0.46153846153846156,6,13
0.3684210526315789,7,19
0.45454545454545453,5,11
0.4117647058823529,7,17
0.47058823529411764,8,17
0.4,4,10
0.3333333333333333,6,18
0.35714285714285715,5,14
0.3333333333333333,4,12
0.4444444444444444,4,9
0.4375,7,16
0.35294117647058826,6,17
0.38461538461538464,5,13
0.3333333333333333,3,9
0.36363636363636365,4,11
0.3333333333333333,5,15
0.9,9,10
0.5833333333333334,7,12
0.7,7,10
0.5384615384615384,7,13
0.8333333333333334,10,12
0.5625,9,16
0.7272727272727273,8,11
0.5454545454545454,6,11
0.8461538461538461,11,13
0.875,7,8
0.9090909090909091,10,11
0.6,6,10
0.8571428571428571,12,14
0.75,3,4
0.8571428571428571,6,7
0.625,10,16
0.75,6,8
0.8,4,5
0.8181818181818182,9,11
0.9230769230769231,12,13
1.3333333333333333,4,3
1.1111111111111112,10,9
1.4,14,10
1.25,5,4
1.1818181818181819,13,11
1.1666666666666667,7,6
1.4,7,5
1.1,11,10
1.4285714285714286,10,7
1.2222222222222223,11,9
1.1666666666666667,14,12
1.2727272727272727,14,11
1.25,10,8
1.3333333333333333,8,6
1.4444444444444444,13,9
1.2,12,10
1.2857142857142858,9,7
1.3,13,10
1.125,9,8
1.3636363636363635,15,11
1.6666666666666667,15,9
1.8333333333333333,11,6
1.6666666666666667,10,6
1.8,9,5
1.6,8,5
1.7142857142857142,12,7
1.75,14,8
1.625,13,8
1.7777777777777777,16,9
1.8888888888888888,17,9
1.8571428571428572,13,7
1.5555555555555556,14,9
1.5714285714285714,11,7
1.6,16,10
1.6666666666666667,5,3
1.875,15,8
1.75,7,4
2.125,17,8
2.4285714285714284,17,7
2.142857142857143,15,7
2.25,18,8
2.1666666666666665,13,6
2.4,12,5
2.2857142857142856,16,7
2.25,9,4
2.2,11,5
2.3333333333333335,14,6
2.3333333333333335,7,3
2.5714285714285716,18,7
2.75,11,4
2.6666666666666665,8,3
2.7142857142857144,19,7
2.6,13,5
2.8,14,5
2.8333333333333335,17,6
2.6666666666666665,16,6
3.4,17,5
3.3333333333333335,20,6
3.2,16,5
3.25,13,4
3.1666666666666665,19,6
3.3333333333333335,10,3
3.75,15,4
3.6666666666666665,11,3
3.8,19,5
3.6,18,5
4.25,17,4
4.2,21,5
4.333333333333333,13,3
4.666666666666667,14,3
4.75,19,4
